@format=row	BXD56	BXD45	BXD49	BXD101	BXD40	DBA/2J	BXD87	D2B6F1	BXD65b	BXD100	C57BL/6J	BXD48	BXD65	BXD69	BXD70	BXD73	BXD84	BXD63	BXD68	BXD66	BXD79	BXD81	BXD29	BXD98	BXD62	BXD90	BXD64	BXD102	BXD60	B6D2F1	BXD44	BXD73b	BXD48a	BXD32	BXD9	BXD61	BXD89	BXD27
X4.Hydroxynonenal/L.Serine	1.58899548415291	1.64414978374687	5.41213522564184	2.14050485866539	3.04494003503571	2.10070443496379	1.83308349988896	4.00888444161436	3.53913718929254	2.64538594417674	1.92529798263281	4.17822335836396	3.04136173436881	2.93637932328007	2.74368446583828	3.24604780208665	2.51818505519101	3.49888590958873	2.16966679433167	2.78406314602518	1.60938834264523	1.58576998050682	3.27160442136995	2.64862693033331	2.52482428592792	3.68425687576209	1.68414799259484	2.51073153568116	2.41936461054943	2.00623422513882	1.91993874425727	2.50183083119736	2.6461002441634	2.85677278614766	3.42188195800363	3.3907334682058	5.48270696002055	3.05316256257783
X2.Aminomuconic.acid/L.Serine	9.99685781618225	4.2593247825446	13.043620292083	4.78251555225971	5.00088524952971	7.05061605061605	6.01795315775084	11.4308317482276	7.55176370590735	9.38236811556817	3.02704596776287	11.952239488117	7.86730512249443	6.18896268184693	7.42482076138544	11.4837176013496	5.80363423212192	7.86343574944831	8.90175582428093	7.56658618127786	6.23478260869565	6.75203794278939	13.4121180913148	12.2787495950761	8.63385323446689	6.74776674937965	3.79213588004728	6.29101546846197	4.96449106449106	9.21909069821387	7.12664847658026	8.07051736357193	6.70091704877032	11.9654507816404	8.44920916856974	6.96861242458829	9.98028673835126	10.2416673770352
Tiglylglycine/L.Serine	3.75878704341833	2.89459973950506	5.23798132571958	2.38394085635076	1.69567011856521	3.57289908876139	2.17234686492532	5.55570029835694	3.64461080914778	3.30387882091111	2.26281068705252	3.84580882352941	3.09199607856868	3.23516283683253	3.45575034074353	4.05211414965005	3.59148287869994	3.77365484094334	3.21493782076589	3.35179052594771	2.46520666716496	2.04672477311528	4.45744438106104	5.22532395919493	3.53155885582806	2.0973737996992	2.60263034288398	2.707121917572	2.95267803502935	3.80356971959039	3.22882381724999	2.81671270148823	3.64771953710007	5.06309843839671	4.36165567829542	3.39598728645213	3.86362813706564	4.94871900486037
Allantoin/L.Serine	1.44695849914724	0.665767945615854	2.36569895096365	1.12878007039925	1.3273709871648	1.56964934390985	1.1065587505865	2.12587131475065	1.5240843983189	1.58094172109147	0.874287813362121	1.94009421714455	1.37299730252878	1.89636125781288	1.01529964098315	1.82323101147671	1.23131451312026	1.29391637105109	1.37958600243528	1.60899315738025	0.9602026259862	1.4940802203929	1.57259298019643	2.37355584082157	0.913955502625453	1.60599438948767	0.792034305763108	1.29989732379438	1.71686148058579	1.5388055367341	1.38509639286306	1.17791569692268	1.34245908028059	2.36007039774727	1.60172847820161	0.995968446686786	1.73917825331306	1.35435689324766
Isopropylmaleate/L.Serine	2.31480021827442	4.42977614228764	10.8571657069738	5.53686921682724	4.98818984547461	5.54920718123444	5.02396530736458	5.05164014290354	6.33712553495007	7.47331381311964	2.19348104122781	7.85802283653846	7.32168469924968	5.72207602339181	4.94671689989236	7.13030091416963	4.8222287161504	6.95704738304423	4.84836645084468	6.26818479055276	4.67597646558446	3.78434955972753	7.05639590012191	6.76805642353361	5.17739957068384	7.11778563015312	3.94607017998187	5.86775809224789	5.61647327707454	5.55038056001676	3.14081719568104	5.24004908351867	6.11739709519883	7.49391988555079	7.02941383435367	4.97017095011048	7.84991113562542	7.10748935163275
X3.Oxooctanoic.acid/L.Serine	0.790745842049668	1.37171208812079	3.91436480018453	1.85624740157984	1.65402774219522	2.39175374188082	1.56919823202319	3.74933356020645	1.65837291995259	2.83184100907074	1.7370898312406	3.3818052502263	2.6236036838978	1.80264369933677	2.57757834957583	2.5081004432634	2.16756425412671	2.84743522758705	2.0681746031746	2.13282200960695	1.85960757780785	1.26981826290556	2.35709868629432	2.39084773558723	1.95168049013091	3.49643201542912	1.30510470643656	2.0547367869951	1.69248496728563	1.95472653944521	1.79809250627465	1.96330565213643	2.21639321660003	2.4436054054842	2.58788632418849	1.70558304733019	3.91511798508375	2.90184286162838
Oenanthic.ether/L.Serine	0.49131657347292	0.531455796328318	1.25550725977989	0.652131902702095	0.625361506635117	0.559836065573771	0.548390579325007	1.09626945497061	0.730970167673144	0.904042255709181	0.630790117046364	1.01086179238901	1.0235753652501	0.482411378987329	0.863450608295364	1.13397747522628	0.772405292392186	1.04374521202289	0.64170820117807	0.549527037280591	0.624943155979991	0.311091990521651	1.03612013525161	1.11266199932485	0.538252476707394	1.31037224430791	0.43544826502254	0.925297654131793	0.406317369267849	0.721972442482538	0.730767885662326	0.700381327264899	0.713008959460658	1.07742739976089	1.02251906443523	0.739362852373085	1.53447222455165	1.52568954132168
X2.Methylbutyrylglycine/L.Serine	1.02389572773353	1.82047889098929	2.80260115606936	0.968214384012945	0.70146056777438	1.26251453445037	0.901883390923121	2.09229527524787	1.71470341313725	1.70931243537927	1.07052505966587	1.46564479067421	1.36655963480212	1.74431767537214	1.6690425387025	1.97295706857785	0.871306123167362	1.19816615798458	1.47818934709853	1.27001223608632	0.794105962656651	0.521462420732126	0.983325782744387	1.94267483279092	1.30414799938205	1.05538198824054	0.716017621145374	1.07558545843211	1.51858630032799	1.69753336892686	1.384209422234	1.14225290892069	1.11497335475742	1.40822635929834	1.58611327225671	1.05592340951204	0.804591852759195	2.04081805982572
DL.2.Aminooctanoic.acid/L.Serine	17.1240188383046	13.0374548736462	23.8339185393258	22.2771061216657	14.3697933227345	15.0912330719886	13.8962542087542	32.7290506250774	16.6800901154604	25.3278203342618	19.7900899372136	25.5510503175379	17.082986749202	18.0364055299539	18.3224520308996	24.3004110774556	25.9596224436287	21.8455552935628	7.977407702198	18.0458471760797	13.8930075821398	10.8003793266951	34.4452281243112	18.6492004920049	21.7220971373432	37.3537087912088	12.8263888888889	17.3006391888913	22.1850694444444	21.1064790228359	26.663547426627	15.7177363699103	18.2883959044369	29.6942426926484	16.09911361805	17.6132289305584	34.0928932659036	34.0836879432624
Oxoadipic.acid/L.Serine	3.53876813273393	4.93694463431305	4.40058346839546	2.45165786694826	1.96295009338488	1.85191988104609	2.15406445720251	4.28262770885297	3.37947888931153	2.59323363219907	2.69860699740837	3.0880911613627	2.8960909061096	2.01882704905349	2.3978606835377	3.63501464472385	4.87685942271697	3.0284714958159	1.88189670113814	2.89176767049387	2.01128151965119	1.3754000362297	4.27666794373598	5.08205403231213	1.87474668961497	2.7676454124472	2.04808467741935	1.90382982851876	2.16278518719112	2.83073361823362	2.55861224489796	2.07233848953594	3.45870835873346	2.77716292786375	2.50269322309909	3.38482556527937	4.77295424057237	5.02867068474803
Methylimidazoleacetic.acid/L.Serine	6.79807692307692	13.8765609990394	15.0108359133127	8.45799635701275	4.75365520143052	7.75283778835591	6.86862908258789	11.2293710451438	9.46282884226222	8.50927063227467	8.35528012609256	8.65943708609272	9.68104582328437	6.95186500888099	7.42407108239095	10.0574434743676	13.630231277533	9.29630744531407	6.55605313474892	8.5987019154662	6.89423076923077	3.49516648764769	11.1293263067939	16.3487168427863	5.56384906903938	8.27682240146097	5.33721541155867	6.60493099966341	6.49781348520289	8.2919883162946	7.39788753171653	6.46282633371169	8.80688458728999	10.4896120150188	9.70891243075129	9.05764543816891	5.94868103288129	10.388672719412
X3.Methyladipic.acid/L.Serine	0.742502625539694	2.92093822667071	4.46778121503324	4.05017095806294	2.92227610733915	3.27933090683807	3.29944039172579	5.67786128408847	3.4259355659668	5.53967709999238	1.70289844491495	4.80637750413527	4.2812022785117	2.80606538571838	4.39235364396655	4.37906700196893	2.98186965425852	4.10869661625793	1.98272844860382	4.02077575996842	3.35387431360586	1.48628103487651	4.05537679053353	1.67719026548673	3.92685195953018	6.01959048146098	2.68838214537756	3.00118528714537	3.51833700440529	3.77789923954373	1.72046493117976	3.67694543106232	4.70823977350386	4.77085527252028	4.3694777359811	2.38449521577817	4.4250328197333	4.90107693562862
D.Alanyl.D.alanine/L.Serine	5.62599469496021	5.76781792773009	9.96608427543679	1.90379821569142	4.51163022861136	3.44080604534005	4.21868012521561	9.0771713010642	3.93065233260336	5.65531584062196	4.3441481040006	7.14326686697624	5.56304135563325	5.38956210410355	5.38193529497877	8.41007113440659	6.22469508361625	4.76775421984356	4.31012239497188	4.96901872293712	3.66181858554458	4.05374621818829	6.96643337939642	6.47774075023498	6.27697741425783	7.61616020165243	3.72880215343203	3.28010865022984	4.62858591712547	6.56646014043784	5.539589961117	4.38121192689965	3.51684532924962	8.64977553021312	8.7313171925531	4.30072955974843	5.42236051138769	7.0268452450579
X7.Hydroxyoctanoic.acid/L.Serine	2.09988449480227	3.5267333984375	11.7641247833622	4.99294623655914	3.66469348037626	5.50591600572097	4.35414743505209	9.36788776305534	5.5299225095696	6.20820175812921	4.40935385080721	6.01253017588229	6.32936749686436	3.83302321026344	6.84299674267101	6.45719788432793	5.02946256222696	4.37158495729722	4.80013999410551	5.61677926375293	3.64643449419569	1.76642109344707	6.28177506230404	5.24956720448722	5.81387741046832	7.15524273121958	3.61126910771418	4.19883385043329	4.40550230986692	5.49778669248859	5.21427383130927	5.21564885496183	5.69649184975195	7.15241508789896	6.69627295884167	3.70110413509418	8.46017173051519	6.41697377557015
N.6..Methyllysine/L.Serine	11.5271739130435	8.73631690353795	7.95954502814259	3.88221523643903	3.06788405403571	9.04635761589404	11.0463365674139	18.0072187414873	13.8465674433102	3.84286016165672	4.78374830796997	14.2321088435374	13.4928189457601	13.9532976827094	4.05806059937083	4.78788072553659	12.8184878301398	13.4857350800582	1.31522101204236	4.09679203539823	2.97389657815247	3.58088350888225	5.42330649639089	14.6434228317558	3.41546553380873	3.45073282152148	3.78154857922819	10.1242099832323	5.71595992127393	12.5830299192655	3.06069039597676	3.72505724566569	15.0543155923209	16.9935117599351	5.9681562910742	3.26746941896024	2.49803998049732	3.91772915511788
